"cover","cut","leg","pull","scoop","straight"
1.062766045834e-06,0.000333158881403506,0.996205151081085,2.92983600047592e-06,8.59886768012075e-06,0.00344916828908026
9.92336140370753e-07,0.000343844469171017,0.996470212936401,2.81167945104244e-06,7.71822033129865e-06,0.00317439693026245
8.8913424178827e-07,0.000332506897393614,0.996719181537628,2.60261617768265e-06,6.81053279549815e-06,0.00293805962428451
7.75464400248893e-07,0.000349683774402365,0.996930539608002,2.48799551627599e-06,5.7993511290988e-06,0.00271071214228868
6.83709117765829e-07,0.000377899035811424,0.996961176395416,2.50117341238365e-06,4.93862717121374e-06,0.00265272753313184
6.4152482082136e-07,0.000394622824387625,0.997050404548645,2.49028857979283e-06,4.80329435958993e-06,0.00254701520316303
5.96469476477068e-07,0.000419558928115293,0.997230112552643,2.51061965172994e-06,4.4035318751412e-06,0.00234289187937975
5.14514283622702e-07,0.000400461169192567,0.997337877750397,2.17601473195828e-06,3.55391853190667e-06,0.00225539621897042
4.33126587040533e-07,0.000396669813198969,0.997356295585632,1.98506336346327e-06,2.88270803139312e-06,0.00224178959615529
3.80063539751063e-07,0.000365907442755997,0.997469425201416,1.74406238784286e-06,2.77306639873132e-06,0.00215988256968558
2.99239360401771e-07,0.000333198608132079,0.997678816318512,1.42851865803095e-06,2.29014722208376e-06,0.00198398670181632
2.40215285884915e-07,0.000308120768750086,0.997747480869293,1.24456664707395e-06,2.02533169613162e-06,0.00194087077397853
1.53314672957094e-07,0.000240579072851688,0.9981769323349,8.52435277920449e-07,1.29815850868908e-06,0.00158026500139385
1.3601700743493e-07,0.000237568252487108,0.998323857784271,7.6006205063095e-07,1.10708458578301e-06,0.00143673364073038
1.21492234939069e-07,0.000235360901569948,0.998376846313477,6.84924145843979e-07,9.88771489573992e-07,0.0013859496684745
1.12328429224817e-07,0.000237274085520767,0.998501777648926,5.941805625298e-07,7.88314480359986e-07,0.00125943054445088
1.26392109223161e-07,0.000285352551145479,0.998342037200928,6.65245181608043e-07,8.12275686712383e-07,0.0013708631740883
9.64044062357061e-08,0.000242476628045551,0.998504519462585,5.28010104972054e-07,6.53116899229644e-07,0.00125188508536667
7.71189192505517e-08,0.000227159951464273,0.998682081699371,4.56267684967315e-07,5.05431103192677e-07,0.00108965358231217
7.4707756425596e-08,0.000234750652452931,0.99873560667038,4.68121953645095e-07,4.97377016017708e-07,0.00102862191852182
4.49840449334715e-08,0.000181307754246518,0.999063789844513,3.57595411060174e-07,3.4227295486744e-07,0.000754092237912118
3.49973774405044e-08,0.000158221955643967,0.999243855476379,2.89421166144166e-07,2.75405398042494e-07,0.000597437552642077
2.46186466767995e-08,0.000132711676997133,0.999403476715088,2.40317461930317e-07,2.09212188906349e-07,0.000463313073851168
1.59072044425557e-08,0.000103576814581174,0.999576270580292,1.59992879389392e-07,1.3452952885018e-07,0.000319965067319572
1.39938718390908e-08,9.72761190496385e-05,0.99964714050293,1.38185853870709e-07,1.14030349607219e-07,0.000255363032920286
1.50277816857169e-08,9.92238128674217e-05,0.999631404876709,1.47371238767846e-07,1.23882401226183e-07,0.000269110401859507
1.48638692465397e-08,9.37840668484569e-05,0.99963915348053,1.3780336871605e-07,1.27443144037898e-07,0.000266848161118105
1.30345076954086e-08,8.51435324875638e-05,0.999674677848816,1.17129694388041e-07,1.08267869336487e-07,0.000239901186432689
1.0138831996187e-08,7.01425669831224e-05,0.999711811542511,9.01237342532113e-08,8.94919978122743e-08,0.000217782711843029
8.37315994317578e-09,5.98118676862214e-05,0.999725043773651,7.47769206554949e-08,7.95659147456718e-08,0.000214859042898752
9.47533695949687e-09,6.37454650131986e-05,0.999736368656158,8.71954171088873e-08,8.69298943939611e-08,0.000199634479940869
1.02171071603152e-08,6.69035871396773e-05,0.999752104282379,9.9414286580668e-08,8.77731380910518e-08,0.000180787043063901
1.0841064046474e-08,7.00744640198536e-05,0.999764621257782,1.12372077865075e-07,9.3616961294174e-08,0.000165093661053106
1.36353506263731e-08,8.93823307706043e-05,0.999751508235931,1.62314123031138e-07,1.16962667107146e-07,0.000158905691932887
1.85404314123616e-08,0.000113802307168953,0.999716103076935,1.90313727443936e-07,1.37585999482326e-07,0.000169652281329036
2.81109855393424e-08,0.000147137528983876,0.999661087989807,2.36811828813188e-07,1.69588190601644e-07,0.000191358543816023
2.68341047160447e-08,0.000139174750074744,0.999688744544983,2.05657599394726e-07,1.3983068924972e-07,0.000171668187249452
2.87671557686053e-08,0.000137516952236183,0.99967896938324,2.12046245451347e-07,1.39005251753588e-07,0.000183202719199471
3.31818093002312e-08,0.000141878219437785,0.999658465385437,2.08400024348521e-07,1.46253313459965e-07,0.000199221263756044
3.98370580967367e-08,0.000159566538059153,0.999632954597473,2.20144784179865e-07,1.78113509718969e-07,0.00020707659132313
3.73948907395061e-08,0.000151861167978495,0.999659180641174,1.96125171214589e-07,1.85691462206705e-07,0.000188357851584442
3.79714535370113e-08,0.000148274106322788,0.999683737754822,1.71872002852069e-07,1.94231745354045e-07,0.000167585792951286
3.31666427655364e-08,0.000132764238514937,0.999733507633209,1.23528494100356e-07,1.59273696453965e-07,0.000133453650050797
3.37225856128498e-08,0.000134031914058141,0.999760806560516,1.12682855046842e-07,1.35739995243966e-07,0.000104911101516336
3.04205087786613e-08,0.000122335550258867,0.999794542789459,9.32529999886356e-08,1.20822065241555e-07,8.2863582065329e-05
2.90770607591639e-08,0.000124532482004724,0.999806463718414,8.83289530406728e-08,1.25991959976091e-07,6.88113577780314e-05
3.12493853016349e-08,0.000141534183057956,0.999800741672516,8.1113192607063e-08,1.16800990213051e-07,5.74620862607844e-05
6.5963156714588e-08,0.000264796050032601,0.999665021896362,1.40070810061843e-07,2.53256473570218e-07,6.97614377713762e-05
1.47924538396182e-07,0.000513726321514696,0.999405860900879,2.86839593854893e-07,5.66419203096302e-07,7.94142033555545e-05
3.24724396705278e-07,0.000809233926702291,0.99909770488739,4.69162017679992e-07,1.15507270948001e-06,9.11236857064068e-05
8.37317315927066e-07,0.00132001913152635,0.998565018177032,6.85470240568975e-07,1.57143949763849e-06,0.000111906294478104
8.98934104043292e-07,0.00134564971085638,0.998534440994263,6.31547948160005e-07,8.71085717335518e-07,0.000117645548016299
4.85671534988796e-07,0.000803897564765066,0.999086618423462,3.71039106994431e-07,4.52061897249223e-07,0.000108135645859875
4.15328997860342e-07,0.000678890210110694,0.999218225479126,2.69379199835384e-07,3.5587163438322e-07,0.000101860241557006
2.94794688215916e-07,0.000532630365341902,0.999387621879578,1.79699156888091e-07,2.1090642121635e-07,7.89689947851002e-05
1.55630743847723e-07,0.000354337593307719,0.999581038951874,1.03871435896963e-07,1.23723850720125e-07,6.42736777081154e-05
1.00401905456238e-07,0.000258032028796151,0.999679207801819,8.01495829705345e-08,1.08684652389002e-07,6.24833119218238e-05
4.95346696993693e-08,0.00015133005217649,0.99979966878891,4.71380197097915e-08,6.86071288669154e-08,4.89001649839338e-05
3.7308396372282e-08,0.000116604220238514,0.999826848506927,3.97313257849419e-08,7.75612676306991e-08,5.63716494070832e-05
2.77220504329989e-08,0.00010396047582617,0.999827861785889,3.41223866939799e-08,6.25602467607678e-08,6.80291705066338e-05
1.72326757308383e-08,9.77379677351564e-05,0.999819457530975,3.13274313157308e-08,6.77308449326119e-08,8.27427647891454e-05
1.39923734820968e-08,0.000134980698931031,0.99976509809494,2.76348419703254e-08,4.91875340458137e-08,9.98497707769275e-05
2.65793929088431e-08,0.000239868953940459,0.999642372131348,5.74152672072614e-08,1.08858856151528e-07,0.0001176292571472
1.88964932590352e-08,0.000242430425714701,0.999650001525879,4.67492959899118e-08,6.32531182986895e-08,0.000107326784927864
2.11332888966353e-08,0.000360723992343992,0.999542593955994,4.57970692480103e-08,4.3676955385763e-08,9.66911466093734e-05
5.20503178336185e-08,0.000781046750489622,0.999113738536835,9.79361516328936e-08,1.02930073353491e-07,0.000104912316601258
9.01944261499921e-08,0.00131660862825811,0.998570561408997,1.60155380513061e-07,1.11886684805995e-07,0.000112545225420035
9.79498224751296e-08,0.0013406234793365,0.998573064804077,1.38664233872987e-07,7.42100780826149e-08,8.59255451359786e-05
2.61572068893656e-07,0.00247039133682847,0.9974485039711,3.22435198540916e-07,1.9358134295544e-07,8.02601280156523e-05
2.38745826663944e-07,0.00202176813036203,0.99791294336319,1.75698303905847e-07,8.84383766219798e-08,6.48364148219116e-05
5.6811984450178e-07,0.00257094530388713,0.997356414794922,2.80241863492847e-07,2.82142082141945e-07,7.15957867214456e-05
5.84000076742086e-07,0.00217472203075886,0.997765421867371,2.00374770997769e-07,1.93747027310565e-07,5.88045222684741e-05
8.51245033572923e-07,0.0020939011592418,0.997860848903656,1.87180702937439e-07,2.59556145465467e-07,4.38671813753899e-05
1.01056161838642e-06,0.00297783128917217,0.996994495391846,1.40005781190666e-07,1.6214707443396e-07,2.64028349192813e-05
2.33909213420702e-06,0.00719317514449358,0.992789804935455,1.30155129340892e-07,1.222977772386e-07,1.43956540341605e-05
4.07748439101852e-06,0.0153088876977563,0.984669268131256,3.84138559184066e-07,5.03459602896328e-07,1.69795584952226e-05
4.19977777710301e-06,0.0162923093885183,0.983666777610779,8.68326139880082e-07,1.19987726066029e-06,3.47071036230773e-05
3.24233360515791e-06,0.00762417679652572,0.992325901985168,5.8518747891867e-07,1.0940626680167e-06,4.50866828032304e-05
2.77782623925305e-06,0.00708021176978946,0.99286675453186,5.39832285539887e-07,8.49162006488768e-07,4.88418809254654e-05
3.19976265927835e-06,0.00863831769675016,0.991311311721802,6.40221117009787e-07,1.03690263131284e-06,4.55219487776048e-05
3.85430666938191e-06,0.0101392455399036,0.989819943904877,6.21704259629041e-07,1.36001870032487e-06,3.49158144672401e-05
7.53151971366606e-06,0.0160785559564829,0.983876645565033,7.08703566942859e-07,1.5268295783244e-06,3.50748086930253e-05
9.95345089904731e-06,0.0152217233553529,0.984727621078491,6.01137173816824e-07,1.2990458344575e-06,3.88619664590806e-05
2.41685647779377e-05,0.019527954980731,0.980389058589935,7.27439100955962e-07,1.26981899484235e-06,5.68439536436927e-05
4.77096327813342e-05,0.0273203458636999,0.972547352313995,1.37402878408466e-06,2.35527863878815e-06,8.09145494713448e-05
6.50649017188698e-05,0.0311916526407003,0.96865838766098,1.6442613741674e-06,2.52067070505291e-06,8.07520118542016e-05
6.16463948972523e-05,0.0241975262761116,0.975663661956787,1.33345940867002e-06,2.01150601242261e-06,7.38559101591818e-05
5.73825891478918e-05,0.0234890300780535,0.976378977298737,1.33321964312927e-06,2.05028072741698e-06,7.12792680133134e-05
6.4569256210234e-05,0.0278895068913698,0.971961736679077,1.5732306337668e-06,2.931737981271e-06,7.96604144852608e-05
8.75717523740605e-05,0.0369848608970642,0.962835729122162,2.01094985641248e-06,3.42570297107159e-06,8.63307504914701e-05
9.4654256827198e-05,0.0384781733155251,0.961357772350311,1.8806481421052e-06,3.88431544706691e-06,6.36937184026465e-05
