"cover","cut","leg","pull","scoop","straight"
4.95703886826959e-08,0.999879598617554,1.13606668517008e-09,2.22598810495356e-08,0.000119309464935213,1.04419257240806e-06
4.53845068193459e-08,0.999898314476013,1.7351380332542e-09,2.89063120106903e-08,0.000100093813671265,1.56471469381358e-06
3.95700432420654e-08,0.99993634223938,8.85782280857228e-10,1.25372245918243e-08,6.20888749836013e-05,1.50182654579112e-06
3.93950898569528e-08,0.999895811080933,1.44384204592285e-09,2.07857038247994e-08,0.000102524107205682,1.6880795783436e-06
3.74316293516586e-08,0.999857187271118,1.39408540267283e-09,2.49552520870111e-08,0.000141429089126177,1.29908312374027e-06
3.32592620111427e-08,0.999886155128479,1.18258580705799e-09,2.0284190327402e-08,0.000112777364847716,1.12668885776657e-06
3.74626800692113e-08,0.999908089637756,1.15948806111987e-09,1.87075510638124e-08,9.07606518012471e-05,1.20731715469446e-06
4.80575792494164e-08,0.999861121177673,1.20907905909462e-09,2.19645013288527e-08,0.000137492956127971,1.36622441004874e-06
2.58239847283903e-08,0.999921679496765,6.54744314321221e-10,1.65652860317778e-08,7.75783555582166e-05,7.0374466076828e-07
2.3467878307315e-08,0.999900221824646,7.73303754364463e-10,1.51351606803019e-08,9.89236214081757e-05,8.92580374056706e-07
2.48857787710222e-08,0.999850273132324,6.99065305642677e-10,1.43251686068879e-08,0.000149135725223459,5.9480879599505e-07
1.31458159913223e-08,0.999930500984192,3.02361385928762e-10,7.21857951191396e-09,6.90388042130508e-05,4.41672597162324e-07
1.73258527524922e-08,0.999951362609863,1.39456182712827e-10,4.16725587371047e-09,4.84033407701645e-05,2.68635716338395e-07
1.46466518913257e-08,0.999939799308777,1.25844529241803e-10,3.99498700787149e-09,5.99590021010954e-05,2.221713941708e-07
1.23612426961017e-08,0.999939322471619,8.01299582242621e-11,2.68169175754451e-09,6.05115310463589e-05,1.49376262470469e-07
8.14251599479121e-09,0.999895691871643,5.64145154202667e-11,2.54556997703048e-09,0.00010412549454486,1.05545211681601e-07
6.84958934016322e-09,0.999873042106628,4.36064101494438e-11,2.54509013863924e-09,0.000126774117234163,7.17118169291098e-08
7.15160064501674e-09,0.999922156333923,2.95967556018795e-11,1.57782698018138e-09,7.76724846218713e-05,7.53888969029504e-08
7.65526664281424e-09,0.999959826469421,1.60109824703936e-11,1.04260700073411e-09,4.01961806346662e-05,5.08920905417654e-08
7.9102289163302e-09,0.999977469444275,2.07839613575178e-11,1.22418564174609e-09,2.24009072553599e-05,8.05923576763234e-08
1.46478464913002e-08,0.999985098838806,4.16469810027298e-11,2.66838018347926e-09,1.47627397382166e-05,1.62877142884099e-07
1.82800690140539e-08,0.9999760389328,5.56204735047139e-11,4.43385461679213e-09,2.36871546803741e-05,2.28879827091077e-07
1.40211220411857e-08,0.999974966049194,5.08675566945893e-11,3.18940029941928e-09,2.47879397647921e-05,2.79190686569564e-07
1.63374416217721e-08,0.999980330467224,4.07636736865502e-11,2.48179432560391e-09,1.93362011486897e-05,3.7203460578894e-07
1.51051473551433e-08,0.999980807304382,2.45455010483564e-11,1.38097433488582e-09,1.88137510122033e-05,3.35392684291946e-07
1.4976459183913e-08,0.999987006187439,2.02771514856703e-11,1.08839803836247e-09,1.25834940263303e-05,4.08885028946315e-07
9.88037829330324e-09,0.999993681907654,1.54037130273288e-11,8.13962841572646e-10,6.01149031353998e-06,4.00687099499919e-07
9.37457134142505e-09,0.999991178512573,1.56470236073458e-11,8.56409665406233e-10,8.33821468404494e-06,4.77244896046614e-07
1.00872101782556e-08,0.999991655349731,1.27548865566651e-11,6.39143848957247e-10,7.7550239439006e-06,6.15766737155354e-07
1.12857652112552e-08,0.999991416931152,1.501614804722e-11,8.90000628750443e-10,7.88172201282578e-06,7.32816545223614e-07
1.23996510836832e-08,0.99998414516449,1.33221602152678e-11,8.18579093397886e-10,1.52201646415051e-05,5.85348402637464e-07
1.08017852440412e-08,0.999978184700012,1.31179685169958e-11,1.10182085677479e-09,2.13973416975932e-05,4.34886032962822e-07
1.15821814361539e-08,0.999975204467773,1.26614075127152e-11,1.61925961528198e-09,2.43265913013602e-05,4.69365915023445e-07
2.10719157678341e-08,0.999943494796753,3.74354471033289e-11,7.27454052551479e-09,5.58050014660694e-05,7.44327451229765e-07
2.51760585712191e-08,0.999938249588013,7.87231321797144e-11,1.31222943622333e-08,6.08382215432357e-05,9.81955395218392e-07
1.85791080298259e-08,0.99992311000824,8.76113764869402e-11,9.52618339766786e-09,7.63078714953735e-05,6.14282896549412e-07
1.39400988530269e-08,0.99992835521698,8.97707810865178e-11,8.95436080838863e-09,7.11331013008021e-05,4.80806420455338e-07
0.00537814991548657,0.961496710777283,0.000742209784220904,0.0281003098934889,6.38141045783414e-06,0.00427623325958848
