"cover","cut","leg","pull","scoop","straight"
0.204421922564507,0.176491841673851,0.278483211994171,0.122596934437752,0.106819897890091,0.111186131834984
0.191616266965866,0.188335850834846,0.27223140001297,0.121197707951069,0.108646310865879,0.117972426116467
0.203464537858963,0.175587847828865,0.26334622502327,0.133727520704269,0.114964112639427,0.108909763395786
0.207293599843979,0.174304127693176,0.269564777612686,0.126193001866341,0.111607797443867,0.111036702990532
0.206815555691719,0.175706967711449,0.267977565526962,0.125340789556503,0.112451247870922,0.111707895994186
0.206721320748329,0.176783546805382,0.267354011535645,0.124291576445103,0.113281235098839,0.111568294465542
0.206050783395767,0.179921582341194,0.260544985532761,0.126038432121277,0.117235414683819,0.110208809375763
0.0437070727348328,0.852310240268707,0.0555734746158123,0.00526286754757166,0.00136569142341614,0.0417807288467884
0.0341961421072483,0.909816682338715,0.0443673171103001,0.00209217914380133,0.000435198191553354,0.00909251533448696
0.0255605094134808,0.927427709102631,0.0395737178623676,0.00147734791971743,0.000257544830674306,0.00570320338010788
0.0390585288405418,0.908405423164368,0.0448925830423832,0.000796995416749269,4.41177508037072e-05,0.00680245133116841
0.0506541132926941,0.893748760223389,0.0475166961550713,0.000523163529578596,1.89254315046128e-05,0.00753834098577499
0.0281250886619091,0.955390214920044,0.0102767618373036,0.000114129405119456,2.20145693674567e-06,0.00609157606959343
0.0842433199286461,0.898419082164764,0.0113620916381478,0.000196599707123823,5.42186035090708e-06,0.00577344000339508
0.147774010896683,0.837142884731293,0.0133149027824402,5.74744517507497e-05,3.04924583360844e-06,0.0017075726063922
0.454186230897903,0.230563074350357,0.313244611024857,8.23180525912903e-05,1.45777867146535e-05,0.00190916494466364
0.138474926352501,0.00608964310958982,0.854912281036377,7.98137407400645e-05,2.13580933632329e-05,0.000421949807787314
0.0248678363859653,0.00196621124632657,0.972811162471771,2.00075646716869e-05,1.34443107526749e-05,0.00032117695081979
0.0147563759237528,0.0193091630935669,0.962644100189209,8.84889450389892e-05,0.000645440130028874,0.00255639897659421
0.00181841000448912,0.00981321278959513,0.984447360038757,0.000117848307127133,0.00366090727038682,0.000142177275847644
0.00208296813070774,0.0157905463129282,0.974633574485779,6.49399371468462e-05,0.00725671648979187,0.000171243809745647
0.000903088075574487,0.00632388517260551,0.988322556018829,5.31644082002458e-06,0.0043615959584713,8.35761675261892e-05
0.00123470113612711,0.0046049184165895,0.985437870025635,1.05309009086341e-05,0.00858072657138109,0.000131215696455911
0.000644632324110717,0.00713615119457245,0.987546861171722,6.66195865051122e-06,0.00459328759461641,7.24198180250823e-05
0.102719828486443,0.190757140517235,0.667739808559418,0.0129743758589029,0.0217119473963976,0.00409697042778134
0.122146084904671,0.0203488431870937,0.236053571105003,0.0254535805433989,0.595297276973724,0.000700639677233994
0.0454815998673439,0.185513317584991,0.719996750354767,0.00111372524406761,0.0423917956650257,0.00550285307690501
0.00789139419794083,0.213549181818962,0.376377671957016,0.00264954892918468,0.399466454982758,6.57749405945651e-05
0.00124695815611631,0.993175327777863,0.00407849298790097,1.85041226359317e-05,0.00147146114613861,9.32837610889692e-06
1.90937771549216e-05,0.998718023300171,0.000920234539080411,7.39613881250989e-08,8.46225793793565e-06,0.000334216543706134
0.0053781527094543,0.961496710777283,0.000742209784220904,0.0281003098934889,6.38141045783414e-06,0.00427623512223363
