,cover,cut,leg,pull,scoop,straight
max_in_row_count,0,3,5,0,1,0
max_value,0.28606788069009803,0.19390548393130275,0.6323663443326948,0.0010974709730362524,0.25448680296540305,0.000574620455154218
std,0.19102010768485916,0.18742540791189585,0.4150266436407421,0.039440920498736286,0.1639119359876627,0.0031749809575013703
frames_with_max_value,"[17, 16, 18, 2, 19, 29, 34, 20, 35]","[37, 0, 5, 6, 36, 23, 25, 24, 35]","[27, 28, 26, 31, 33, 30, 32, 21, 12]","[3, 4, 5, 0, 37, 23, 22, 25, 24]","[1, 14, 7, 11, 10, 9, 15, 8, 13]","[4, 5, 0, 3, 37, 2, 8, 9, 25]"
