,cover,cut,leg,pull,scoop,straight
max_in_row_count,1,5,5,2,0,0
max_value,0.413992464542389,0.4544859230518338,0.15751146525144574,0.26538500934839276,0.000986556289717555,0.024292532820254575
std,0.2661265357505853,0.2998058865376076,0.2127504246341737,0.20464993954273433,0.0031193617242958717,0.01354786831029426
frames_with_max_value,"[9, 23, 10, 26, 27, 16, 14, 24, 11]","[30, 35, 4, 1, 34, 29, 7, 13, 31]","[6, 3, 0, 33, 32, 29, 31, 9, 15]","[12, 19, 15, 25, 18, 28, 24, 22, 21]","[7, 10, 13, 16, 18, 21, 22, 28, 1]","[23, 14, 11, 2, 8, 5, 26, 17, 22]"
