,cover,cut,leg,pull,scoop,straight
max_in_row_count,0,13,9,0,8,0
max_value,0.08822475187480447,0.988978713750839,0.4323841109871865,0.00042059987026732377,0.4263874441385265,6.950687748030762e-05
std,0.07518889446096783,0.39491975498847415,0.24630122726373327,0.04436442030712555,0.23662586373723227,0.0025998373693445244
frames_with_max_value,"[6, 10, 27, 21, 20, 26, 18, 23, 24]","[32, 34, 35, 33, 31, 36, 0, 30, 2]","[28, 22, 26, 23, 25, 20, 24, 21, 19]","[7, 8, 4, 9, 37, 27, 6, 3, 18]","[5, 11, 15, 12, 14, 16, 13, 27, 17]","[8, 9, 7, 37, 6, 10, 4, 12, 18]"
