,cover,cut,leg,pull,scoop,straight
max_in_row_count,0,3,10,0,11,0
max_value,0.08790982887148856,0.11268892325460937,0.787346467375755,0.0013936974864918775,0.8840401470661164,0.0008369473507627843
std,0.07063036988256495,0.15843236603847655,0.3792868191244036,0.05235174958064412,0.3326484338152526,0.006650283817773743
frames_with_max_value,"[6, 21, 22, 23, 36, 20, 8, 33, 35]","[11, 37, 8, 2, 0, 1, 32, 10, 33]","[25, 26, 24, 27, 31, 30, 29, 28, 34]","[9, 10, 6, 5, 35, 34, 36, 37, 33]","[15, 12, 18, 16, 17, 14, 4, 13, 3]","[10, 9, 32, 8, 6, 37, 35, 36, 31]"
