,cover,cut,leg,pull,scoop,straight
max_in_row_count,0,1,63,0,0,0
max_value,0.004343551991041748,0.004671043658163395,0.9992201626300812,0.00013170194142730877,0.00011698986236297075,0.000256331262789899
std,0.030897574575081802,0.03606700774418406,0.924787983906156,0.007579105132888698,0.0002735247238393054,0.000394797771348619
frames_with_max_value,"[2, 3, 1, 4, 0, 7, 5, 6, 14, 9, 13, 8, 15, 12, 10, 11, 69]","[69, 30, 1, 0, 29, 14, 15, 3, 2, 27, 4, 39, 5, 6, 7, 13, 38]","[33, 21, 34, 32, 35, 24, 61, 60, 31, 59, 62, 44, 63, 65, 23, 56, 64]","[1, 0, 3, 2, 4, 69, 5, 6, 7, 15, 14, 19, 8, 13, 9, 18, 16]","[7, 19, 6, 1, 0, 5, 3, 2, 20, 4, 9, 8, 39, 43, 46, 10, 42]","[25, 69, 1, 0, 15, 22, 14, 2, 3, 19, 4, 16, 18, 20, 13, 5, 17]"
