,cover,cut,leg,pull,scoop,straight
max_in_row_count,1,89,0,0,0,0
max_value,0.1073773540556435,0.8881285935640337,0.00307326012989506,0.13252822682261475,6.151999514258931e-06,0.0063115768134594
std,0.10497465572945426,0.7933592792334301,0.0016678427979043373,0.09334118052050544,2.7853965536189436e-06,0.006654267551470731
frames_with_max_value,"[39, 36, 33, 27, 21, 18, 30, 24, 105, 12, 108, 15, 111, 102, 123, 99, 117, 120, 9, 44, 114, 88, 85, 48, 22, 91, 82, 79, 45, 76, 47]","[69, 72, 75, 78, 81, 84, 0, 87, 66, 3, 63, 90, 124, 57, 60, 34, 121, 118, 115, 31, 125, 112, 37, 6, 28, 93, 54, 25, 61, 110, 64]","[99, 12, 102, 96, 88, 22, 85, 91, 76, 105, 82, 79, 73, 55, 94, 97, 58, 67, 109, 103, 1, 100, 4, 106, 7, 64, 52, 70, 43, 46, 49]","[44, 47, 41, 83, 80, 98, 77, 89, 101, 86, 95, 92, 74, 50, 71, 29, 59, 68, 62, 65, 104, 116, 20, 122, 56, 53, 17, 107, 113, 23, 2]","[91, 85, 88, 82, 73, 79, 67, 76, 94, 97, 70, 100, 64, 103, 106, 58, 55, 109, 52, 49, 7, 40, 13, 19, 16, 46, 10, 43, 1, 22, 125]","[51, 48, 45, 42, 54, 105, 21, 12, 15, 60, 57, 18, 9, 102, 47, 44, 63, 59, 50, 99, 41, 39, 62, 56, 98, 95, 66, 65, 53, 92, 101]"
