,cover,cut,leg,pull,scoop,straight
max_in_row_count,2,24,0,0,0,0
max_value,0.3904035463929178,0.939540684223175,0.0005981903523206713,0.009167531970888378,1.8899406313721522e-05,0.00041927147685782995
std,0.2499610827830823,0.7226915955239825,0.000613174379507619,0.018176752243260545,0.008099982947663486,0.0004574086129507478
frames_with_max_value,"[37, 35, 33, 34, 38, 36, 31, 27, 26, 32, 18]","[43, 42, 41, 44, 22, 45, 23, 7, 40, 11, 12]","[33, 34, 32, 38, 36, 15, 45, 18, 16, 14, 17]","[36, 39, 4, 6, 5, 3, 2, 38, 45, 19, 22]","[6, 5, 4, 3, 2, 21, 44, 7, 8, 43, 9]","[33, 32, 45, 39, 36, 31, 38, 34, 4, 5, 6]"
