,cover,cut,leg,pull,scoop,straight
max_in_row_count,0,1,28,0,0,0
max_value,0.0261922129429877,0.009872971568256582,0.9980470538139345,0.000810008554253727,0.001905366691062225,0.0008250189857790244
std,0.032476523001726834,0.038365743260419555,0.9161987229463799,0.001385408647432959,0.0015243513734427938,0.010049247534421824
frames_with_max_value,"[10, 9, 11, 8, 12, 13, 7]","[29, 28, 7, 15, 4, 3, 8]","[19, 17, 18, 24, 26, 23, 16]","[29, 21, 0, 3, 1, 4, 8]","[8, 9, 0, 15, 1, 10, 7]","[0, 1, 2, 3, 4, 29, 7]"
