,cover,cut,leg,pull,scoop,straight
max_in_row_count,5,25,0,0,0,0
max_value,0.388434484601021,0.9928642660379408,3.488140350782485e-06,0.0022315908572636575,0.000624127671471797,1.8843761551146075e-09
std,0.22539546682600223,0.7125020861301733,3.690635307078149e-05,0.018099570010306713,0.04387298250200522,9.298494314768327e-05
frames_with_max_value,"[36, 34, 35, 37, 38, 39, 44, 33, 27, 43, 28]","[7, 8, 10, 9, 6, 22, 11, 21, 20, 0, 5]","[44, 45, 43, 42, 38, 39, 19, 40, 22, 33, 34]","[17, 44, 43, 40, 18, 39, 45, 38, 42, 41, 23]","[16, 15, 14, 2, 3, 13, 4, 1, 12, 17, 5]","[45, 44, 43, 42, 19, 31, 30, 33, 40, 22, 29]"
