,cover,cut,leg,pull,scoop,straight
max_in_row_count,1,10,0,2,6,0
max_value,0.2983161136507985,0.7340070903301238,0.054955358617007774,0.205268144607544,0.2504931353032585,0.0203393502160907
std,0.1759139716021692,0.3645501656329112,0.058953231866239186,0.16862466481711189,0.20527760764574368,0.026680375166902942
frames_with_max_value,"[7, 6, 18, 30, 32, 35, 5, 24, 31]","[11, 2, 16, 37, 21, 1, 22, 36, 12]","[18, 3, 31, 4, 23, 12, 24, 13, 32]","[9, 10, 19, 20, 8, 14, 13, 6, 15]","[17, 26, 27, 28, 25, 29, 23, 24, 35]","[4, 5, 6, 20, 13, 12, 14, 21, 0]"
