,cover,cut,leg,pull,scoop,straight
max_in_row_count,0,38,0,0,0,0
max_value,2.5662003189097498e-08,0.9999780058860778,7.547441421840165e-10,1.4932662661948397e-08,9.688287900644356e-05,9.596116399279704e-07
std,0.00014154991999690126,0.9989264105495652,1.9532197283992537e-05,0.0007394898467597852,5.990956111944748e-05,0.0001131319277491409
frames_with_max_value,"[37, 0, 7, 1, 2, 3, 6, 4, 5]","[26, 28, 29, 27, 25, 20, 30, 24, 23]","[37, 1, 3, 4, 7, 5, 6, 0, 2]","[37, 1, 4, 0, 7, 3, 5, 6, 8]","[10, 4, 7, 16, 0, 5, 15, 3, 1]","[37, 3, 1, 2, 7, 4, 6, 5, 0]"
