,cover,cut,leg,pull,scoop,straight
max_in_row_count,3,1,1,5,5,1
max_value,0.20384176075458504,0.0543764252215624,0.155120722949505,0.57245072722435,0.6806488633155825,0.0012320317327976248
std,0.16635855065308736,0.09543374493387094,0.14268524422884865,0.2727928804490529,0.27520404705354956,0.04752553648251939
frames_with_max_value,"[17, 16, 12, 13, 11, 10, 15]","[30, 26, 14, 15, 22, 29, 13]","[23, 4, 14, 15, 0, 13, 1]","[19, 20, 18, 28, 8, 29, 10]","[25, 2, 27, 3, 24, 5, 6]","[21, 22, 14, 15, 29, 30, 7]"
