,cover,cut,leg,pull,scoop,straight
max_in_row_count,2,16,5,0,11,0
max_value,0.266018748283386,0.7958926558494566,0.1471119299530985,0.000867790076881647,0.041293097659945446,4.09559415857075e-05
std,0.17501793211935138,0.449488303138667,0.16307391991619938,0.008343898597025015,0.2038405751166041,0.0002353665219692719
frames_with_max_value,"[32, 31, 40, 39, 36, 30, 37, 35, 23, 33, 24, 50, 25]","[46, 47, 45, 53, 28, 27, 52, 43, 44, 54, 29, 49, 26]","[12, 13, 20, 11, 19, 16, 14, 15, 17, 24, 21, 18, 25]","[18, 17, 22, 19, 16, 15, 54, 21, 23, 14, 20, 29, 31]","[8, 7, 9, 6, 4, 3, 2, 5, 0, 1, 10, 22, 17]","[15, 54, 31, 16, 30, 11, 18, 24, 23, 17, 19, 14, 22]"
