,cover,cut,leg,pull,scoop,straight
max_in_row_count,26,1,0,5,0,0
max_value,0.9840404391288761,0.23588789999485002,0.00290484097786248,0.0228786580264568,8.846423327213419e-08,0.00110766442958266
std,0.7400296788947243,0.11166698478830064,0.00954273920902374,0.13772609045294376,3.451464902997042e-07,0.0010341548783912914
frames_with_max_value,"[42, 43, 23, 41, 40, 38, 39, 26, 31, 5, 24]","[44, 11, 12, 13, 35, 15, 16, 34, 19, 14, 17]","[13, 16, 15, 12, 14, 17, 11, 19, 18, 20, 25]","[10, 9, 8, 7, 1, 2, 6, 0, 3, 4, 44]","[44, 15, 16, 13, 14, 12, 17, 19, 18, 11, 20]","[33, 34, 32, 35, 44, 13, 25, 31, 26, 14, 12]"
