,cover,cut,leg,pull,scoop,straight
max_in_row_count,25,44,3,0,0,1
max_value,0.7252103090286255,0.8302169740200045,0.06470085680484775,0.028490712866187103,0.001508701418060805,0.045323399826884256
std,0.3248313940492661,0.5094471406936226,0.08504141456935616,0.025034213547695094,0.0012752365256038876,0.05437059402172772
frames_with_max_value,"[31, 34, 15, 65, 73, 12, 47, 41, 107, 50, 44, 26, 9, 28, 23, 53, 20, 38, 11, 17, 35, 98, 32, 5, 29, 63, 18]","[51, 54, 48, 42, 45, 39, 108, 36, 27, 55, 100, 58, 89, 33, 90, 110, 106, 22, 80, 13, 30, 99, 70, 24, 93, 19, 16]","[88, 75, 85, 1, 78, 4, 64, 82, 43, 79, 66, 52, 67, 7, 69, 63, 72, 61, 40, 81, 77, 8, 2, 5, 11, 20, 97]","[68, 81, 67, 77, 87, 97, 64, 49, 14, 2, 91, 8, 79, 76, 43, 29, 32, 17, 65, 46, 20, 5, 11, 23, 109, 26, 38]","[14, 67, 6, 8, 46, 29, 2, 32, 23, 5, 26, 40, 56, 3, 43, 17, 35, 11, 37, 38, 20, 53, 63, 72, 9, 0, 7]","[74, 72, 71, 4, 109, 84, 104, 69, 86, 94, 66, 1, 49, 92, 40, 68, 79, 101, 7, 107, 85, 43, 96, 46, 44, 28, 105]"
