,cover,cut,leg,pull,scoop,straight
max_in_row_count,0,51,0,0,0,0
max_value,4.6704042233614e-06,0.99918258190155,1.172904333657242e-07,1.8868253448545152e-07,0.001743601518683135,1.532888290967095e-05
std,0.00010872383117039082,0.9967162702597824,2.2135900574641533e-05,0.0005518739020020824,0.002340038536899288,0.00026096846216133843
frames_with_max_value,"[50, 12, 13, 31, 30, 29, 14, 32, 33, 40, 41, 15]","[0, 1, 2, 38, 37, 3, 49, 16, 4, 39, 46, 45]","[50, 7, 8, 6, 5, 9, 3, 1, 4, 2, 0, 10]","[50, 9, 8, 10, 7, 11, 12, 13, 6, 5, 29, 14]","[10, 9, 11, 12, 8, 13, 14, 29, 27, 28, 24, 25]","[50, 7, 5, 8, 6, 4, 9, 3, 2, 10, 1, 11]"
