,cover,cut,leg,pull,scoop,straight
max_in_row_count,0,2,0,16,0,0
max_value,0.457797534763813,0.1001695916056635,0.12843856960535024,0.9137988686561586,0.0004369387170299885,0.03673935029655697
std,0.22400703274316214,0.10769520134336372,0.10687960829989819,0.5321888953776044,0.004382240487483198,0.024847016005557696
frames_with_max_value,"[29, 30, 28, 31, 27, 26, 24, 25]","[1, 33, 32, 0, 30, 31, 27, 26]","[10, 9, 8, 11, 0, 32, 24, 25]","[17, 3, 4, 14, 18, 19, 16, 15]","[0, 8, 9, 10, 32, 7, 11, 31]","[0, 28, 25, 27, 26, 24, 29, 31]"
