,cover,cut,leg,pull,scoop,straight
max_in_row_count,4,3,8,0,6,1
max_value,0.14550145342946025,0.3817709013819695,0.5678404569625852,0.005889505031518637,0.07141596823930743,0.0012574719876283773
std,0.16780858022837872,0.25248946318568316,0.30472878169514184,0.0553267773489224,0.1748229819094744,0.04482341306694168
frames_with_max_value,"[16, 15, 3, 17, 7, 18, 22, 14, 23]","[37, 26, 6, 19, 20, 36, 35, 18, 7]","[24, 29, 30, 28, 27, 31, 21, 32, 33]","[4, 5, 1, 0, 6, 37, 34, 25, 33]","[8, 0, 12, 10, 13, 9, 11, 14, 20]","[2, 1, 6, 5, 4, 3, 37, 25, 23]"
