,cover,cut,leg,pull,scoop,straight
max_in_row_count,8,1,0,0,0,0
max_value,0.6508987545967099,0.34925158321857425,0.00206219538813457,0.05087571032345298,0.137789350003004,0.10430924966931375
std,0.4651820063713546,0.26811781143279456,0.00187904929330934,0.10249392606170946,0.08762794386833965,0.07469925109149984
frames_with_max_value,"[12, 11, 13, 14, 15, 16, 10, 17, 8]","[37, 23, 22, 25, 24, 36, 32, 29, 34]","[1, 0, 2, 22, 3, 23, 4, 25, 26]","[33, 31, 35, 34, 36, 32, 9, 29, 30]","[9, 5, 6, 7, 19, 2, 8, 3, 4]","[27, 0, 1, 26, 28, 3, 2, 25, 24]"
