,cover,cut,leg,pull,scoop,straight
max_in_row_count,0,50,0,0,0,0
max_value,3.269279957862632e-07,0.9999822378158569,3.789684399624348e-10,9.727321392816176e-09,5.48151356269955e-05,2.827222758128302e-07
std,0.00010780431821125085,0.9991844546794891,1.4844442013251991e-05,0.0005620135632078608,4.515891188930253e-05,8.57190060337487e-05
frames_with_max_value,"[49, 10, 11, 9, 2, 12, 7, 3, 1, 4, 29, 14]","[38, 39, 36, 40, 37, 35, 41, 42, 43, 33, 34, 44]","[49, 10, 7, 11, 12, 14, 15, 13, 16, 3, 2, 4]","[49, 10, 7, 11, 12, 14, 2, 3, 15, 13, 4, 16]","[11, 7, 12, 10, 2, 29, 9, 3, 4, 31, 30, 13]","[49, 10, 15, 11, 4, 12, 3, 16, 14, 17, 13, 5]"
