,cover,cut,leg,pull,scoop,straight
max_in_row_count,0,1,30,0,0,0
max_value,8.613312019178926e-08,5.62786208746502e-08,0.9996423721313474,1.945467893449405e-07,6.643440428888425e-06,0.0017239787266589701
std,0.00017360552802713245,0.03101613413686832,0.9665800913954304,0.0009067645818739947,1.0159473037579265e-05,0.0013132593585103152
frames_with_max_value,"[30, 19, 18, 21, 20, 17, 22]","[30, 18, 19, 22, 21, 24, 23]","[12, 11, 22, 10, 23, 24, 8]","[30, 18, 19, 22, 21, 20, 23]","[18, 4, 19, 2, 17, 3, 24]","[18, 17, 30, 4, 19, 16, 2]"
