,cover,cut,leg,pull,scoop,straight
max_in_row_count,0,1,29,0,0,0
max_value,1.1424523727043876e-07,1.0268180261618935e-07,0.9999656379222868,2.3966638895700525e-08,8.682133284310113e-06,0.00014943925634725
std,0.00017936735687674167,0.0320500345245768,0.9665605151928806,0.0009366911751733365,6.678545188757805e-06,0.0002667116570288879
frames_with_max_value,"[29, 15, 16, 17, 18, 19, 21]","[29, 15, 16, 17, 28, 21, 18]","[23, 27, 0, 19, 20, 1, 6]","[29, 16, 15, 21, 18, 28, 19]","[4, 16, 15, 12, 3, 8, 7]","[29, 11, 15, 10, 13, 12, 9]"
