,cover,cut,leg,pull,scoop,straight
max_in_row_count,29,1,0,0,0,0
max_value,0.9939194023609159,0.0114133972674608,0.003979100496508179,0.03986742533743385,5.38166750629898e-06,0.014058824628591548
std,0.9135240536153076,0.03767376662712666,0.0023926712275433885,0.03698044840712103,6.617993184748581e-06,0.009422451264512232
frames_with_max_value,"[5, 4, 6, 3, 1, 0, 12]","[30, 17, 16, 14, 15, 8, 18]","[18, 17, 16, 22, 21, 19, 15]","[22, 23, 17, 21, 24, 18, 20]","[14, 15, 13, 29, 8, 9, 30]","[22, 21, 25, 24, 23, 20, 29]"
