,cover,cut,leg,pull,scoop,straight
max_in_row_count,2,1,0,5,0,2
max_value,0.04258872475475075,0.310593672096729,0.020742538385093247,0.6699532121419909,6.5637334500934256e-06,0.315150111913681
std,0.11652590684492943,0.21468657502971059,0.016198965038971176,0.4459613579342009,3.1027826538172174e-05,0.20659617841842445
frames_with_max_value,"[0, 1, 2, 3, 4, 20, 18]","[27, 13, 26, 11, 14, 12, 10]","[7, 6, 5, 8, 26, 25, 3]","[23, 21, 22, 24, 25, 15, 18]","[26, 25, 12, 10, 24, 9, 7]","[4, 5, 20, 3, 19, 2, 6]"
