score,nose.x,nose.X,nose.y,nose.Y,nose.score,leftEye.x,LEYE.X,leftEye.y,LEYE.Y,leftEye.score,rightEye.x,REYE.X,rightEye.y,REYE.Y,rightEye.score,leftEar.x,LEAR.X,leftEar.y,LEAR.Y,leftEar.score,rightEar.x,REAR.X,rightEar.y,REAR.Y,rightEar.score,leftShoulder.x,LSHD.X,leftShoulder.y,LSHD.Y,leftShoulder.score,rightShoulder.x,RSHLD.X,rightShoulder.y,RSHLD.Y,rightShoulder.score,leftElbow.x,LELB.X,leftElbow.y,LELB.Y,leftElbow.score,rightElbow.x,RELB.X,rightElbow.y,RELB.Y,rightElbow.score,leftWrist.x,LWRIST.X,leftWrist.y,LWRIST.Y,leftWrist.score,rightWrist.x,RWRIST.X,rightWrist.y,RWRIST.Y,rightWrist.score,leftHip.x,LHP.X,leftHip.y,LHP.Y,leftHip.score,rightHip.x,RHP.X,rightHip.y,RHP.Y,rightHip.score,leftKnee.x,LKNE.X,leftKnee.y,LKNE.Y,leftKnee.score,rightKnee.x,RKNE.X,rightKnee.y,RKNE.Y,rightKnee.score,leftAnkle.x,LANK.X,leftAnkle.y,LANK.Y,leftAnkle.score,rightAnkle.x,RANL.X,rightAnkle.y,RANK.Y,rightAnkle.score,shotType
0.749077686,125.2299387,-25.04387644,33.37659799,-7.541525132,0.802876711,127.5900577,-22.68375738,28.25289774,-12.66522537,0.671149909,123.4691516,-26.80466351,28.64035818,-12.27776494,0.13848716,130.4551952,-19.8186199,27.43092251,-13.48720061,0.853703618,142.9516447,-7.322170391,28.55028605,-12.36783707,0.154078454,150.2738151,0,40.91812312,0,0.955958486,158.2490379,7.975222814,37.54369684,-3.374426281,0.895828843,174.9045287,24.63071356,72.88958479,31.97146167,0.805858791,177.2336552,26.95984005,72.32927849,31.41115537,0.754832089,118.1076347,-32.16618044,81.34699128,40.42886816,0.785997033,118.2408849,-32.03293025,79.44002263,38.52189951,0.555867434,177.3427169,27.0689018,94.79299761,53.87487449,0.992164969,174.6457764,24.3719613,94.4336264,53.51550329,0.97293669,158.1877297,7.913914543,136.5698729,95.65174979,0.943255007,157.9891101,7.715294983,136.2763609,95.35823777,0.838477671,165.0323474,14.75853233,173.9951523,133.0770292,0.91456902,163.2030918,12.92927664,173.7016849,132.7835617,0.698278785,cover
0.089162103,104.3652842,-16.57772435,97.763679,1.362336749,0.072961599,106.8725467,-14.07046188,92.73815526,-3.66318699,0.14432776,106.0572999,-14.8857087,93.54601908,-2.855323168,0.056818128,113.561792,-7.381216561,93.36014388,-3.041198374,0.153159738,109.1031204,-11.83988816,98.85864258,2.457300327,0.03482163,120.9430086,0,96.40134225,0,0.115429819,114.4859759,-6.457032675,95.26977539,-1.13156686,0.065905362,133.0698807,12.12687214,119.2588628,22.85752055,0.152575284,138.6873891,17.74438049,126.9357199,30.53437764,0.053487867,96.85722084,-24.08578776,94.9506678,-1.45067445,0.184940875,95.45637494,-25.48663366,95.7883486,-0.612993649,0.15850234,135.2124641,14.26945549,137.6548262,41.25348399,0.101318181,127.2863128,6.34330423,140.6731721,44.27182981,0.083622843,126.4963944,5.553385812,178.3056118,81.90426956,0.04597652,128.0240961,7.081087461,178.2613138,81.85997158,0.039869189,125.3129239,4.36991532,179.7093967,83.30805441,0.028544217,125.3761024,4.433093832,179.6035945,83.20225222,0.023494393,cover
0.63452414,128.0834985,-20.37833841,51.30438897,-8.785134995,0.440188855,132.0235969,-16.43824002,50.05222721,-10.03729676,0.403558671,132.614486,-15.84735084,47.62867582,-12.46084814,0.132003188,137.7750144,-10.68682244,49.89661428,-10.19290969,0.697809398,133.8282544,-14.63358245,47.80333404,-12.28618993,0.115379989,148.4618369,0,60.08952397,0,0.922226906,130.4273732,-18.03446373,62.93241449,2.842890521,0.91603601,154.7939731,6.332136221,80.20813938,20.11861541,0.698388577,124.5047662,-23.95707067,79.06152154,18.97199757,0.746586382,129.2695161,-19.19232083,85.02778525,24.93826128,0.502389252,122.9482272,-25.51360965,78.11111866,18.02159469,0.544165492,155.6902993,7.228462427,105.6152433,45.52571931,0.904848337,141.2484076,-7.213429254,107.5497757,47.46025175,0.904332161,149.2091672,0.747330365,125.3763666,65.28684267,0.858412206,136.9369685,-11.52486838,128.6932296,68.60370562,0.900401354,145.1104368,-3.351400056,156.6809272,96.59140323,0.533849597,133.3239663,-15.13787058,155.0804821,94.99095813,0.566334009,cover
0.018862009,151.2170398,197.9337599,80.88534463,80.7355261,0.011857688,172.3349605,219.0516806,74.62641942,74.4766009,0.013869733,148.7407877,195.4575078,81.97052061,81.82070209,0.00767678,176.9217703,223.6384904,76.08148003,75.93166151,0.016881675,175.6087722,222.3254924,75.85454859,75.70473007,0.0120143,-46.71672012,0,0.149818524,0,0.038382262,187.5865239,234.303244,89.1035028,88.95368428,0.030625373,188.9768786,235.6935987,120.1861549,120.0363363,0.016422272,172.0715237,218.7882438,102.2101228,102.0603043,0.015724272,199.7115792,246.4282993,105.3251868,105.1753682,0.012076795,168.8009002,215.5176204,78.24470728,78.09488875,0.017003596,65.74193754,112.4586577,221.6723609,221.5225424,0.013280362,199.3836459,246.100366,142.6046052,142.4547867,0.01029557,214.1832166,260.8999367,222.9110658,222.7612473,0.030332595,214.1173129,260.834033,222.218863,222.0690445,0.019221753,198.4682432,245.1849633,197.7962627,197.6464442,0.035077065,201.9352063,248.6519264,201.5880421,201.4382236,0.019912064,cover
0.455941907,110.0581188,-16.67750615,90.10235382,26.69712467,0.093805641,110.6723058,-16.06331911,77.82783954,14.42261039,0.101108611,110.5251268,-16.21049814,77.03242617,13.62719703,0.063412666,117.7966047,-8.939020179,77.97688881,14.57165967,0.141591996,113.9340412,-12.80158373,86.02641362,22.62118447,0.100103706,126.7356249,0,63.40522915,0,0.620260656,109.2356938,-17.49993113,71.43808654,8.032857398,0.367937148,140.3048979,13.569273,74.93043595,11.52520681,0.532403827,104.8851577,-21.85046719,83.73196672,20.32673758,0.269915909,133.2689634,6.533338495,72.9250971,9.519867953,0.480425984,107.5907013,-19.14492358,94.87858338,31.47335424,0.590672612,133.9572298,7.221604878,100.5565718,37.15134261,0.769187987,133.1429626,6.407337708,113.5828783,50.17764912,0.602536321,141.261998,14.52637312,132.1018323,68.69660314,0.8664307,141.0627194,14.32709453,132.4624058,69.05717664,0.681786001,135.3335488,8.597923902,175.3799676,111.9747385,0.816783786,134.8838183,8.148193359,175.3110537,111.9058245,0.652648866,cover
0.013555506,136.6652849,7.865893887,-9.288263692,-10.60344408,0.004542708,106.3101743,-22.48921673,1.601638636,0.286458253,0.004735976,135.6151536,6.81576265,-3.752975798,-5.068156181,0.002549469,111.3685519,-17.43083909,-2.427935044,-3.743115427,0.006769866,100.0453489,-28.75404209,10.18339818,8.868217793,0.006769866,128.799391,0,1.315180383,0,0.017396539,-43.21074356,-172.0101345,22.54409048,21.2289101,0.0173558,59.53371812,-69.26567285,236.5505708,235.2353904,0.019309402,62.87510794,-65.92428304,252.492538,251.1773577,0.01808846,141.8237115,13.02432049,40.16594794,38.85076756,0.007632613,154.0975489,25.29815793,41.60420755,40.28902717,0.003984809,74.8990545,-53.90033648,204.0882689,202.7730886,0.027126551,58.05538192,-70.74400906,231.1307736,229.8155933,0.018667072,66.76558261,-62.03380837,243.6679588,242.3527784,0.025823504,71.17892314,-57.62046784,257.4875412,256.1723608,0.024788171,69.01395033,-59.78544065,262.1003028,260.7851225,0.011359215,71.81740549,-56.98198549,262.7423654,261.427185,0.013543576,cover
0.064332815,48.73623978,-133.7799191,136.2798609,22.76028585,0.071768761,51.35243932,-131.1637196,135.6879654,22.1683903,0.141489774,45.00225973,-137.5138992,133.9697752,20.45020018,0.151078314,59.17020568,-123.3459532,137.1347034,23.61512834,0.064457357,42.31504448,-140.2011144,135.1687242,21.64914914,0.061868131,182.5161589,0,113.5195751,0,0.068977922,36.31741416,-146.1987447,155.6629285,42.14335341,0.14004299,64.8271672,-117.6889917,175.3452346,61.82565949,0.071518213,33.41546856,-149.1006903,176.7263093,63.20673427,0.063675821,62.69362335,-119.8225355,182.5866284,69.06705329,0.045501918,39.70218465,-142.8139742,183.3728063,69.85323123,0.026253581,56.62714146,-125.8890174,188.1350447,74.61546961,0.065320224,41.71357507,-140.8025838,189.0090527,75.48947761,0.053696394,68.71425762,-113.8019013,203.27247,89.7528949,0.025513977,160.5086449,-22.00751397,200.4688189,86.94924381,0.014935672,60.06452805,-122.4516308,224.7246293,111.2050543,0.012416989,158.3697664,-24.14639247,204.0654342,90.54585913,0.015141815,cover
0.682202555,110.4838746,-31.5002857,81.86867265,-5.68915638,0.814563036,115.9941736,-25.98998667,75.9802733,-11.57755573,0.647769094,104.9457713,-37.03838898,75.02184619,-12.53598284,0.703026295,128.3538996,-13.63026066,76.58637377,-10.97145526,0.54086113,105.1341847,-36.84997559,79.68605724,-7.871771786,0.286070853,141.9841603,0,87.55782903,0,0.950152993,105.863543,-36.12061734,93.63164939,6.073820359,0.952598214,154.9793585,12.99519817,95.36964624,7.811817214,0.607540309,100.8417686,-41.14239169,98.70262888,11.14479985,0.771598697,159.1881481,17.2039878,74.79596565,-12.76186338,0.783437371,105.8644514,-36.11970894,90.7081604,3.150331371,0.235719085,145.9257549,3.94159458,138.868844,51.31101497,0.959292412,119.3434363,-22.64072403,143.9341415,56.37631249,0.979307771,149.8002702,7.816109861,180.0957171,92.53788811,0.54825139,99.41871138,-42.56544892,196.3899842,108.8321552,0.701425433,121.4929662,-20.49119408,226.3987797,138.8409507,0.531070411,101.3300974,-40.65406295,224.2717817,136.7139527,0.584758937,cover
0.583425576,107.6247575,-16.12140344,0.660680611,-4.310548259,0.230777264,101.3243085,-22.42185244,1.627656133,-3.343572737,0.311786711,99.34565622,-24.40050474,14.95885181,9.98762294,0.131904721,115.1606341,-8.585526878,-1.087543218,-6.058772088,0.294004589,129.9892737,6.243112764,-3.833996739,-8.80522561,0.116087675,123.746161,0,4.97122887,0,0.776404142,116.1395002,-7.606660717,3.290042525,-1.681186346,0.592818558,132.0222788,8.276117822,28.64696414,23.67573527,0.578695953,112.9246099,-10.82155101,30.04917041,25.07794154,0.43112129,116.6216305,-7.124530481,26.65125257,21.6800237,0.518273294,102.7947096,-20.9514514,38.62844534,33.65721647,0.555892527,132.2595144,8.5133534,45.02766531,40.05643644,0.896944463,133.5833954,9.837234438,51.12371037,46.15248149,0.914759755,138.5465511,14.8003901,83.70597038,78.73474151,0.980523229,140.8308452,17.08468426,83.53347185,78.56224298,0.90997684,134.3830034,10.63684248,128.2742066,123.3029777,0.873248458,133.3031621,9.557001136,127.0857399,122.114511,0.805015326,cover
0.070645104,144.6017314,-28.09489803,26.22864719,-5.638878076,0.037003934,147.1938137,-25.50281569,20.06405559,-11.80346968,0.052687794,145.2572596,-27.43936977,20.22476938,-11.64275589,0.027850688,156.8512735,-15.84535591,21.16056657,-10.7069587,0.053514838,142.5040872,-30.19254217,17.80406566,-14.06345961,0.020944387,172.6966294,0,31.86752527,0,0.182622105,171.7485777,-0.94805172,36.35146293,4.483937661,0.045159698,191.4016724,18.70504298,42.82185447,10.9543292,0.210479438,191.2979898,18.6013604,38.11727739,6.249752119,0.062231779,162.8642041,-9.832425247,37.81010372,5.942578446,0.236674637,165.1389512,-7.557678223,36.44245905,4.574933776,0.087090343,201.0405188,28.34388941,24.97967375,-6.887851522,0.026664585,220.2302925,47.53366314,16.75597388,-15.1115514,0.024053216,196.7414411,24.04481168,40.50377575,8.636250477,0.051543683,198.5469002,25.85027079,41.51683169,9.64930642,0.029963791,164.0399799,-8.65664946,29.58617006,-2.281355208,0.029996246,166.668434,-6.028195392,28.38796697,-3.479558299,0.022485614,cover
